symbol	Control_1	Control_2	MSC_1	MSC_2	MSC_3	Control_1
SLC26A2	700.4	625	431.01	368.49	511.39	498
SLC26A3	0	3	0	1	0	1
SLC26A4	17	27	47	29.36	16	17
SLC26A4-AS1	4	7	16	10.63	13	2
SLC26A5	0	0	0	2	0	0
SLC26A6	478	688	389	398	485	463
SLC26A7	1	4	1	2	1	2
SLC26A8	0	0	0	1	2	0
SLC26A9	1	0	0	0	0	0
SLC27A1	67	216.17	61	46	32	97.06
SLC27A2	470	335	281	189	385	223
SLC27A3	292	216	126	110	231	176
SLC27A4	413	524	306.76	324	365	348
SLC27A5	37	35	25	10	13	26
SLC27A6	0	0	0	0	0	0
SLC28A1	0	0	0	0	0	0
SLC28A2	0.98	6.07	2	6.61	2	5
SLC28A3	2	0	1	0	1	0
SLC29A1	151	81	37	36	165	42.01
SLC29A2	56	159	80	74	54	95
SLC29A3	58	145	80	68	46	127
SLC29A4	3	1	1	1	1	2
SLC2A1	2378	1816	1145	1341	2014	1708
SLC2A1-AS1	22	22	13	11	11	17
SLC2A10	0	0	0	0	0	0
SLC2A11	97	233	128	96.99	81	161
SLC2A12	27	36	11.53	11	27	15
SLC2A13	102	85	71	85	66	121
SLC2A14	27.53	0	0	1	37.72	1
SLC2A2	0	0	0	0	0	0
SLC2A3	3416.86	3622.62	2675.72	2881.59	3484.28	3458.13
SLC2A4	0	5	1	2	0	2
SLC2A4RG	1377.9	2007.58	1085.83	850.01	1064.88	1328.41
SLC2A5	7	6	6	0	2	2
SLC2A6	26	39	27	13	18	30
SLC2A7	0	0	0	0	0	0
SLC2A8	195	144	95	86	159	107
SLC2A9	6	2	1	0	2	0
SLC30A1	200	256	131	125.98	158	177
SLC30A10	0	0	0	0	0	0
SLC30A2	0	0	0	0	0	0
SLC30A3	1	1	0	0	0	0
SLC30A4	67	94	66	50	72	73
SLC30A5	885.02	958.11	654.03	592.83	746.25	813.81
SLC30A6	728	761.33	451.98	430	595	624
SLC30A7	1192.07	1539.84	1067.75	1087.14	1115.07	1263.02
SLC30A8	0	0	0	0	0	0
SLC30A9	987	906.21	614	564.93	829.93	709
SLC31A1	259.96	351	197.9	137.99	190.03	204.23
SLC31A2	49	89	49	41	65	53
SLC32A1	0	0	0	0	0	0
SLC33A1	644.88	899.53	584	557	640.48	685.19
SLC34A1	0	3	1	0	0	0
SLC34A2	0	0	0	0	1	2
SLC34A3	2	4	1	1	2	2
SLC35A1	422.09	480.03	292	336.29	348.97	450
SLC35A2	318	344.04	197	168	243.06	235
SLC35A3	519.98	585.9	323.97	315.13	412.99	422.7
SLC35A4	1370	1389	879	725	1081	979.96
SLC35A5	592	541	311	327	403	485
SLC35B1	435.98	361	256	240	378	290
SLC35B2	633.06	806	496	445	599	623
SLC35B3	266.9	378.01	272.56	189	204.99	291
SLC35B4	503.07	473.68	256	223	405.46	351
SLC35C1	509	439	340	369	546	397
SLC35C2	965	1271	714	584	813	937
SLC35D1	980	1271.89	672.41	676	764.05	898
SLC35D2	467	793	526	450	330.24	661.6
SLC35D3	0	0	0	0	0	0
SLC35E1	825.01	1156.83	697	524.21	616.99	865
SLC35E2	1251.6	1840.56	865.44	3767.14	1088.39	5181.2
SLC35E2B	3632.77	6800.18	3546.49	3091.14	2989.96	4482.28
SLC35E3	188.81	187.63	145.4	102.48	144.44	145.72
SLC35E4	54	63	53	49	68	55
SLC35F1	5.83	7.13	0	2	2.02	7.19
SLC35F2	230.99	213	148	115	200.46	148
SLC35F3	45	22	8	6	26	9
SLC35F4	0	0	0	0	0	0
SLC35F5	391	416	233	289	316.86	300
SLC35F6	809	716	585.98	494.06	783.46	557.96
SLC35G1	31	58	50	37	25	30
SLC35G2	12	10	4	8	7	13
SLC35G3	0	0	0	0	0	0
SLC35G4	0	0	0	0	0	0
SLC35G5	1	2	4	1	2	1
SLC35G6	3	0	0	0	3	1
SLC36A1	174.01	246	149	110	182	101
SLC36A2	0	2	0	3	0	0
SLC36A3	0	0	0	0	1	0
SLC36A4	210	255	139	166	151	176
SLC37A1	190	266	140	133	155	183
SLC37A2	41.69	46.98	22.04	31.83	36.95	22.9
SLC37A3	360	966.14	544.52	439.77	376	516
SLC37A4	375	389	243	231	358	280
SLC38A1	8641.59	8462.79	5672.68	5578.66	7222.32	7082
SLC38A10	2105.75	2537.56	1652.87	1542	2001.92	1756
SLC38A11	0	0	0	0	0	0
SLC38A2	3731.91	3333.47	1635.03	1443.67	2596.89	2521.18
SLC38A3	0	0	0	0	0	0
SLC38A4	0	0	0	0	0	0
SLC38A5	472.01	455	303	277	434	396
SLC38A6	56	77	32	47.63	72.53	59
SLC38A7	264	350	236.69	262	266	295.27
SLC38A8	0	0	0	0	0	0
SLC38A9	344.97	353	221.97	225	285	318.09
SLC39A1	756	791	466	392	592.03	638
SLC39A10	370.14	588.83	433	377.04	395.57	447
SLC39A11	226	228	147	115	184	199.9
SLC39A12	0	0	0	0	0	0
SLC39A12-AS1	0	0	0	0	0	0
SLC39A13	613.98	774.21	447.67	431.05	497.67	578.95
SLC39A14	214	296	239.95	168	160	207
SLC39A2	0	0	0	0	0	4
SLC39A3	430	489	276	231	350	333
SLC39A4	41	75	30	27	25	51
SLC39A5	1	1	1	0	1	2
SLC39A6	955	1163.06	693	631	719.99	905
SLC39A7	1277	1388.4	866	789	1177	1020
SLC39A8	864	1084	763	648	812	795.04
SLC39A9	1294.85	1300.99	852.96	694	1072.01	967
SLC3A1	4.87	1.32	0	0	1.26	0
SLC3A2	1396	1943	1299	1108	1282	1400
SLC40A1	20	82	31	56	12	68
SLC41A1	458	635	377	415	353	572
SLC41A2	18	24	11.97	14.98	11	13
SLC41A3	512	410	285	289	406	409
SLC43A1	324	352	223	173	309	260
SLC43A2	206.06	256.38	148.09	107.27	166.13	153.71
SLC43A3	598.83	150	96	78	479.72	106
SLC44A1	387	266.7	164	138	266	198.79
SLC44A2	3319	5345	3208	2863	3044.46	3921
SLC44A3	17	28	22	34	9	59
SLC44A4	0	0	1	1	1	0
SLC44A5	0	92	40	0	0	0
SLC45A1	7	7	11	2	3	5
SLC45A2	0	0	0	0	0	0
SLC45A3	6	7	0	2	4	5
SLC45A4	223	424	250	181	186	273
SLC46A1	17.57	23.85	38.1	27.52	25.66	19.61
SLC46A2	2	16	4	5	3	2
SLC46A3	551	686	330	263.15	378.74	492
SLC47A1	0	7	4	1	1	10
SLC47A2	0	0	0	0	2	0
SLC48A1	112	263	138	111	121	183
SLC4A1	1	1.98	0	0	1	0
SLC4A10	108	125	111	138	87	188
SLC4A11	29	51	23	35	29	41
SLC4A1AP	735.51	847.05	471	460.43	661.49	642
SLC4A2	1446	1558	854	788	1099.29	1189.46
SLC4A3	0	0	1	0	0	0
SLC4A4	21	14	13	11	16	14
SLC4A5	127.01	167	92.27	78	113	113
SLC4A7	3885.73	3787.39	2040.53	2738	3303.78	3501.93
SLC4A8	95	65.97	43	31.02	77	40.42
SLC4A9	0	1	0	1	0	0
SLC50A1	385.99	502.93	286	231	266	388.29
SLC51A	1	2	0	0	0	2
SLC51B	0	0	0	0	0	0
SLC52A1	4	19	15	9.83	6	19
SLC52A2	642.18	727.99	430	377	509.72	520
SLC52A3	0	0	0	0	0	0
SLC5A1	0	0	0	1	0	0
SLC5A10	0	0	0	1	0	0
SLC5A11	1	2	2	0	0	0
SLC5A12	0	0	0	0	0	0
SLC5A2	1.15	0	3.6	1.2	0	0
SLC5A3	1798.68	2855.85	1514.82	1666.2	1623.43	1955.49
SLC5A4	0	0	0	0	0	0
SLC5A5	38	64.43	38	50	43	83
SLC5A6	316.5	419.23	255.39	251.31	285.56	323.36
SLC5A7	0	0	0	0	0	0
SLC5A8	0	0	0	0	0	0
SLC5A9	0	0	0	0	0	0
SLC6A1	0	0	0	0	0	0
SLC6A1-AS1	0	0	0	0	0	0
SLC6A10P	0	1	0	0	0	1
SLC6A11	0	0	0	0	0	0
SLC6A12	0	10	7	4	2	2
SLC6A13	0	3	3	1	0	1
SLC6A14	0	0	0	1	0	0
SLC6A15	0	0	0	0	0	0
SLC6A16	15	41	28	16	18	25
SLC6A17	1	0	0	0	1	0
SLC6A18	0	0	0	0	0	0
SLC6A19	0	0	0	0	0	0
SLC6A2	0	0	0	0	0	0
SLC6A20	7	11	16	3	11	2
SLC6A3	4	1	0	0	2	0
SLC6A4	11.61	16.89	8	3.63	10.82	4.43
SLC6A5	0	0	0	0	0	0
SLC6A6	2937.01	3158.88	1971.07	2295.4	2718.02	2698.47
SLC6A7	0	0	0	0	0	0
SLC6A8	28	32	23	22	16	31
SLC6A9	3	12	17	7	5	6
SLC7A1	1231.41	789	649	500.69	1318.05	487
SLC7A10	0	0	0	0	0	0
SLC7A11	66.94	145.64	82.5	76.92	56	70.69
SLC7A11-AS1	3	2	0	0	1	1
SLC7A13	0	0	0	0	0	0
SLC7A14	2.79	11.99	5.06	1.27	8.49	7.44
SLC7A2	0	0.99	0	1	0	0
SLC7A3	0	0	0	0	0	0
SLC7A4	0	1	0	1	0	3
SLC7A5	838.37	881	571.44	473.01	667	693
SLC7A5P1	19	45	24	22	29	20.01
SLC7A5P2	60.57	100.66	57.52	69.72	73.71	51.96
SLC7A6	2045.16	4692.82	2721.12	2604.79	1965.63	3229.18
SLC7A6OS	344.07	480.16	301.76	244.43	321.07	363.43
SLC7A7	26	18	12	5	14	14
SLC7A8	7	14	33	26	28	9
SLC7A9	0	3	0	1	1	1
SLC8A1	0	2	0	0	0	2
SLC8A1-AS1	8	12	3	5	4	4
SLC8A2	0	0	1	0	0	0
SLC8A3	0	1	0	0	0	0
SLC8B1	472	930	570.45	491	380	593
SLC9A1	618	723	399	319	474	521
SLC9A2	1	2	0	0	0	0
SLC9A3	3	10	0	1	2	1
SLC9A3R1	10416	6960.97	5427	5632.98	11163.57	5658
SLC9A3R2	13	47	23	4	7	10
SLC9A4	25.74	33.24	13.05	25.45	23.65	21.15
SLC9A5	29	26	22	19	32	24
SLC9A6	690	741.5	437.01	464	543.91	611
SLC9A7	133.41	189	134.41	179.37	113.01	199.03
SLC9A7P1	0	2	1	0	1	0
SLC9A8	850	1169.97	629	601	782	732.99
SLC9A9	346	264	188	172	281	240.45
SLC9A9-AS1	0	0	0	0	0	0
SLC9B1	10	18	20	14	10	12
SLC9B2	253	279	210	184	243	176
SLC9C1	0	0	0	0	0	0
SLC9C2	0	0	0	0	0	0
SLCO1A2	1.75	9.8	5.84	0	4	2
SLCO1B1	0	0	0	0	0	0
SLCO1B3	0	0	0	0	0	0
SLCO1B7	0	0	0	0	0	0
SLCO1C1	0	0	0	0	0	0
SLCO2A1	0	0	0	0	0	0
SLCO2B1	1	0	1	0	0	0
SLCO3A1	865.99	777.22	634	630.3	969.25	670.12
SLCO4A1	349.93	198	126.94	80	331.96	105
SLCO4A1-AS1	4.07	2	4.06	2	0	0
SLCO4C1	344	40	35	45	353	36
SLCO5A1	3	14	7	2	2	8
SLCO6A1	0	0	0	0	0	0
SLED1	0	0	0	0	0	0
SLFN11	1240.21	1463.42	794.88	818.87	1064	959.53
SLFN12	178	221	135	105	135.02	116
SLFN12L	251	255.22	190	250	227	208
SLFN13	813.24	1242.52	822.12	912.9	839.57	921.47
SLFN14	39	92	30	39	32	52
SLFN5	9062.07	9619.47	6624.05	7657.92	9492.64	8628.64
SLFNL1	0	0	2.54	2.25	0	0
SLFNL1-AS1	11	44.98	16.26	21.75	20	16.22
SLIRP	152	138	93	57	167	71
SLIT1	27	14	5	6	19	12
SLIT1-AS1	0	0	1	0	0	0
SLIT2	0	0	0	0	0	0
SLIT2-IT1	0	0	0	0	0	0
SLIT3	0	0	0	0	1	0
SLITRK1	1	0	0	0	0	0
SLITRK2	0	0	0	0	0	0
SLITRK3	0	0	0	0	0	0
SLITRK4	0	0	0	0	0	0
SLITRK5	0	3	1	10	0	2
SLITRK6	0	0	0	0	0	0
SLK	1728.99	1808	1241	1184	1457	1451.98
SLMAP	897.03	1050	679	637.9	773.3	796
SLMO1	7.99	2	1	1	7	2
SLMO2	971.18	906.89	605.17	619.41	812	899.52
SLMO2-ATP5E	249.21	262.39	83.18	91.24	185.04	156.02
SLN	0	0	0	0	0	0
SLPI	0	0	0	0	0	0
SLTM	2816.78	2955.95	1826.71	1663.66	2316	2288.95
SLU7	1712.07	1867	1043	932.99	1215	1549.94
SLURP1	0	0	0	0	0	0
SLX1A	746.4	779.94	487.25	292.76	593.87	419.41
SLX1A-SULT1A3	754.3	1522.54	804.38	634	880.93	653.66
SLX1B	746.4	779.94	487.25	292.76	593.87	419.41
SLX1B-SULT1A4	0	0	0	12.66	8.57	0
SLX4	451	412	297	220	442	267
SLX4IP	31	43	27	21	28	28
SMA4	254.22	185.83	139.64	365.08	216.71	444.7
SMA5	266.34	496.09	248.43	297.77	243.49	350.58
SMAD1	8.91	42	16.24	10	6	9.3
SMAD1-AS1	0.09	0	2.76	0	0	1.7
SMAD1-AS2	0	0	0	0	0	0
SMAD2	2066.45	1938.83	1181.03	1126	1500.95	1613
SMAD3	5682.48	6134.93	4268.7	4446.64	5696.04	4741.88
SMAD4	1199.03	1519.19	871.05	868.57	982.4	1103
SMAD5	575.13	423.97	278.59	456.99	570	477.01
SMAD5-AS1	1	2	3	0	0	4
SMAD6	1	1	1	0	0	0
SMAD7	650.09	684	539	508	806	499
SMAD9	19	24	17	21	13	16
SMAGP	19	48	70	40	41	27
SMAP1	1056.09	1205	795	672	852	965
SMAP2	4149.07	5216.02	3655.06	3003	3629.51	3699.04
SMARCA1	0	0	0	0	0	0
SMARCA2	2342.38	2596.27	1582	1165	1908.96	1550.02
SMARCA4	1866.01	2032.99	1216	989	1482	1368
SMARCA5	3119	2972.26	1924	1662	2361.57	2351
SMARCA5-AS1	0	0	0	0	0	0
SMARCAD1	1181	1229	788	816	1041	1031
SMARCAL1	626	634	410	335	478	474
SMARCB1	1237.05	1188	661	400	871	759
SMARCC1	1855.27	1830.2	1070.01	929.85	1565.06	1347
SMARCC2	3394.98	4311.48	2512.95	2481.01	2926.27	3406.2
SMARCD1	1554.36	1720	1024	935	1218.92	1292.37
SMARCD2	2609	2785	1652.92	1383	2123	2109
SMARCD3	22	46	18	13	13	42
SMARCE1	2547	2274.01	1457.05	1139	2115	1794
SMC1A	3330.77	2199	1303	1107	2696	1623
SMC1B	7	9	4	4	5	0
SMC2	1939.01	879	583	391	1364.85	612
SMC2-AS1	0	0	1	1	0	0
SMC3	2978.42	2260	1258.9	1123	2265	1795.99
SMC4	7250.63	4258.17	2865.61	2105.96	5843.93	2676.22
SMC5	1340.03	1367	769.83	787	1200.44	1057.99
SMC5-AS1	1	4	2	4	1	0
SMC6	1856	1652.92	1040	1014.45	1581	1332.06
SMCHD1	6377.64	9057.19	5710.11	5095.54	5963.99	5955.72
SMCO1	1	0	1	1	0	0
SMCO2	0	6	0	1	0	0
SMCO3	1	1	5	1	2	2
SMCO4	240.03	153.7	87.01	109	236	139.83
SMCP	0	0	0	0	0	0
SMCR5	0	1	0	0	0	0
SMCR8	1926.12	2414	1571	1480.68	1850.98	1903.65
SMDT1	463	774	468	377	339	634.72
SMEK1	2768	3018.13	1893.35	1777.94	2188	2353.22
SMEK2	2623.59	3014.15	1654	1496.52	2138.02	2152.51
SMEK3P	0	0	0	0	0	0
SMG1	6160.24	10200.29	5439.96	6276.26	5822.12	7300.32
SMG1P1	754.55	1264.76	670.59	1214.02	736.95	1127.4
SMG1P2	342.43	447.07	298.61	321.74	319.28	359.38
SMG1P3	1043.21	1844.62	978.66	903.12	929.64	814.61
SMG1P5	560.07	722.52	359.24	361.74	436.83	462.33
SMG1P7	99.38	168.69	101.76	97.02	103.92	110.18
SMG5	1967	2267	1291	1244.99	1726	1603
SMG6	1194.13	1465.06	750	647.29	878.04	982.66
SMG7	1879	2280.84	1387	1092	1606	1523.67
SMG7-AS1	10	11	8	7	8	10
SMG8	508	613	416	338	430	444
SMG9	556.87	617	299	282	428	470
SMIM1	0	3	0	1	1	1
SMIM10	5	1	0	0	2	0
SMIM10L1	510.52	566.64	361.45	274.45	392.22	428.6
SMIM10L2A	27	92	35	31	17	40
SMIM10L2B	0	0	0	0	0	0
SMIM11	206	187	149	102	160	148
SMIM12	762	874.98	578.62	501	642.97	661
SMIM13	268	253	153	134	159.97	187
SMIM14	82	177	79	92	58	122
SMIM15	664	630	407	279	576	461
SMIM17	3	20.57	5.03	8.96	4.77	6
SMIM18	0	0	1	0	0	2
SMIM19	336.73	399.83	285.73	231	253.98	280
SMIM2	0	0	0	0	0	0
SMIM2-AS1	3	0	2	0	2	0
SMIM2-IT1	0	0	0	0	0	0
SMIM20	219	201	125	82	147	129
SMIM21	0	0	0	0	0	0
SMIM22	0	0	0	0	0	1
SMIM23	0	0	0	0	0	0
SMIM24	1	1	0	0	0	0
SMIM3	434	465	226	175	348	308
SMIM4	28	48	28	36	30	39
SMIM5	10	14	9	6	9	5
SMIM6	0	1	1	0	1	1
SMIM7	518	533.21	274	308	451.91	442
SMIM8	109	76	48	51	81	81
SMIM9	0	0	0	0	0	0
SMKR1	19	30	22	17	16	27
SMLR1	0	0	0	0	0	1
SMN1	480.86	435	284.29	255.95	414.22	412.4
SMN2	226.14	0	0	286.05	248	324.6
SMNDC1	797	811	495	428	658	613.79
SMO	3	3	0	0	1	1
SMOC1	0	0	0	0	0	0
SMOC2	0	0	0	0	0	0
SMOX	38	137	110	75	54	73
SMPD1	829	1194	722	606.14	633	838
SMPD2	157.25	246.75	166.46	116.45	162.2	180.08
SMPD3	61	268	173	46	57	72
SMPD4	1393.69	1313.53	941.18	636.35	1215.39	892.83
SMPDL3A	2	6	1	2	0	2
SMPDL3B	1	10	7	2	0	2
SMPX	0	0	0	0	0	0
SMR3A	0	0	0	0	0	0
SMR3B	0	0	0	0	0	0
SMS	684.91	532.95	360	252	545.13	360
SMTN	287	170	109	76	291	95
SMTNL1	3	7	3	0	6	5
SMTNL2	1	0	0	0	1	0
SMU1	1496.93	1605.92	955.92	785.5	1396.54	1018
SMUG1	242	263.49	150.14	144	198	178
SMURF1	394	634.73	361	387	325.69	472.46
SMURF2	459	569	380.72	450	426	454
SMYD1	0	0	0	0	0	0
SMYD2	353	439	246	223.91	315	352
SMYD3	95	94	40	38	71	79
SMYD4	465.71	665.11	447.06	405.01	531.26	411
SMYD5	166	190	155	105	177	159
SNAI1	1	2	0	2	0	0
SNAI2	0	0	0	0	0	0
SNAI3	243	415	240	257	255	383
SNAI3-AS1	37	65	40	33	40	47
SNAP23	1520.7	1780.94	1048	985.15	1145.96	1477.88
SNAP25	1	0	1	0	0	1
SNAP25-AS1	0	0	0	0	0	0
SNAP29	1291.75	1229.75	894.81	592.89	997.13	866.03
SNAP47	498.02	521.96	318.21	288.54	424.03	436.04
SNAP91	0	0	0	0	0	0
SNAPC1	113	136.01	96	88	70	90
SNAPC2	247	325	158	156	178	270
SNAPC3	565	681.19	447	453	603	495
SNAPC4	385	619	361.04	360.67	367	440
SNAPC5	59.1	63.19	52.32	38.15	51.46	60.84
SNAPIN	470	532.99	320	285.96	392	425.52
SNAR-A1	0	0	0	0	0	0
SNAR-A10	0	0	0	0	0	0
SNAR-A11	0	0	0	0	0	0
SNAR-A12	0	0	0	0	0	0
SNAR-A13	0	0	0	0	0	0
SNAR-A14	0	0	0	0	0	0
SNAR-A2	0	0	0	0	0	0
SNAR-A3	0	0	0	0	0	0
SNAR-A4	0	0	0	0	0	0
SNAR-A5	0	0	0	0	0	0
SNAR-A6	0	0	0	0	0	0
SNAR-A7	0	0	0	0	0	0
SNAR-A8	0	0	0	0	0	0
SNAR-A9	0	0	0	0	0	0
SNAR-B1	0	0	0	0	0	0
SNAR-B2	0	0	0	0	0	0
SNAR-C1	0	0	0	0	0	0
SNAR-C2	0	0	0	0	0	0
SNAR-C3	0	0	0	0	0	0
SNAR-C4	0	0	0	0	0	0
SNAR-C5	0	0	0	0	0	0
SNAR-D	0	0	0	0	0	0
SNAR-E	0	0	0	0	0	0
SNAR-F	0	0	0	0	0	0
SNAR-G1	0	0	0	0	0	0
SNAR-G2	0	0	0	0	0	0
SNAR-H	0	0	0	0	0	0
SNAR-I	0	0	0	0	0	0
SNCA	0	9	8	8	0	16
SNCA-AS1	0	0	0	0	0	0
SNCAIP	0	0	0	0	1	0
SNCB	0	0	0	1	0	0
SNCG	0	0	1	0	0	0
SND1	2060.97	2772.34	1893.61	1287.97	1743.42	1845
SND1-IT1	1	1	2	1	0	0
SNED1	150	469	270	549.06	208	538.97
SNF8	566	472	302	299	506	379
SNHG1	675.95	841	517	380.03	621	631
SNHG10	121.38	196.55	103.53	80.3	122.33	114
SNHG11	61	111	71.01	76	58	67
SNHG12	222.1	322	179	193	183	216
SNHG15	160	210.06	145	119	194	117
SNHG16	1057.17	1344.24	888.1	796.47	888.94	952.09
SNHG17	106	196	113	104.99	122	89
SNHG18	0	0	4	2	0	0
SNHG20	112	258.66	175	126.9	162	108
SNHG21	42.53	64.35	50.85	41.35	52.55	37.83
SNHG22	0	0	0	0	0	0
SNHG24	0	0	0	0	0	0
SNHG3	590.62	850.5	510.87	380.24	607.91	446.65
SNHG4	27.22	57.55	20	20.77	23.57	19.19
SNHG5	1903.96	925.01	607	870	1421.02	1379
SNHG6	589.97	1015	677.27	507	530	740.9
SNHG7	485.97	697.18	432.03	317	499.42	464.18
SNHG8	268.8	475	260	238	251	294
SNHG9	24	27	16	15	22	15
SNIP1	470	536	396.02	295	462.12	429
SNN	149	348	220	96	109	132.64
SNORA1	0	0	0	0	0	0
SNORA10	0	0	0	0	0	0
SNORA11	0	0	0	0	0	0
SNORA11B	0	0	0	0	0	0
SNORA11C	0	0	0	0	0	0
SNORA11D	0	0	0	0	0	0
SNORA11E	0	0	0	0	0	0
SNORA12	0	0	0	0	0	0
SNORA13	0	0	0	0	0	0
SNORA14A	0	0	0	0	0	0
SNORA14B	0	0	0	0	0	0
SNORA15	0	0	0	0	0	0
SNORA16A	0	0	0	0	0	0
SNORA16B	0	0	0	0	0	0
SNORA17	0	0	0	0	0	0
SNORA18	0	0	0	0	0	0
SNORA19	0	0	0	0	0	0
SNORA20	0	0	0	0	0	0
SNORA21	0	0	0	0	0	0
SNORA22	0	0	0	0	0	0
SNORA23	0	0	0	0	0	0
SNORA24	0	0	0	0	0	0
SNORA25	0	0	0	0	0	0
SNORA26	0	0	0	0	0	0
SNORA27	0	0	0	0	0	0
SNORA28	0	0	0	0	0	0
SNORA29	0	0	0	0	0	0
SNORA2A	0	0	0	0	0	0
SNORA2B	0	0	0	0	0	0
SNORA30	0	0	0	0	0	0
SNORA31	0	0	0	0	0	0
SNORA32	0	0	0	0	0	0
SNORA33	0	0	0	0	0	0
SNORA34	0	0	0	0	0	0
SNORA35	0	0	0	0	0	0
SNORA36A	0	0	0	0	0	0
SNORA36B	0	0	0	0	0	0
SNORA36C	0	0	0	0	0	0
SNORA37	0	0	0	0	0	0
SNORA38	0	0	0	0	0	0
SNORA38B	0	0	0	0	0	0
SNORA4	0	0	0	0	0	0
SNORA40	0	0	0	0	0	0
SNORA41	0	0	0	0	0	0
SNORA43	0	0	0	0	0	0
SNORA44	0	0	0	0	0	0
SNORA45A	0	0	0	0	0	0
SNORA45B	0	0	0	0	0	0
SNORA46	0	0	0	0	0	0
SNORA47	0	0	0	0	0	0
SNORA48	0	0	0	0	0	0
SNORA49	0	0	0	0	0	0
SNORA51	0	0	0	0	0	0
SNORA52	0	0	0	0	0	0
SNORA53	0	1	0	0	0	0
SNORA54	0	0	0	0	0	0
SNORA55	0	0	0	0	0	0
SNORA56	0	0	0	0	0	0
SNORA57	0	0	0	0	0	0
SNORA58	0	0	0	1	0	0
SNORA59A	0	0	0	0	0	0
SNORA59B	0	0	0	0	0	0
SNORA5A	0	0	0	0	0	0
SNORA5B	0	0	0	0	0	0
SNORA5C	0	0	0	0	0	0
SNORA6	0	0	0	0	0	0
SNORA60	0	0	0	0	0	0
SNORA61	0	0	0	0	0	0
SNORA62	0	0	0	0	0	0
SNORA63	0	0	0	0	0	0
SNORA64	0	0	0	0	0	0
SNORA65	0	0	0	0	0	0
SNORA66	0	0	0	0	0	0
SNORA67	0	0	0	0	0	0
SNORA68	0	0	0	0	0	0
SNORA69	0	0	0	0	0	0
SNORA70	0	0	0	0	0	0
SNORA70B	0	0	0	0	0	0
SNORA70C	0	0	0	0	0	0
SNORA70D	0	0	0	0	0	0
SNORA70E	0	0	0	0	0	0
SNORA70F	0	0	0	0	0	0
SNORA70G	0	0	0	0	0	0
SNORA71A	0	0	0	0	0	0
SNORA71B	0	0	0	0	0	0
SNORA71C	0	0	0	0	0	0
SNORA71D	0	0	0	0	0	0
SNORA71E	0	0	0	0	0	0
SNORA72	0	0	0	0	0	0
SNORA73B	0	0	0	0	0	0
SNORA74A	0	0	0	0	0	0
SNORA74B	0	0	0	0	0	0
SNORA75	0	0	0	0	0	0
SNORA76A	0	0	0	0	0	0
SNORA76C	0	0	0	0	0	0
SNORA77	0	0	0	0	0	0
SNORA78	0	0	0	0	0	0
SNORA79	0	0	0	0	0	0
SNORA7A	0	0	0	0	0	0
SNORA7B	0	0	0	0	0	0
SNORA8	0	0	0	0	0	0
SNORA80A	0	0	0	0	0	0
SNORA80B	0	0	0	0	0	0
SNORA80E	0	0	0	0	0	0
SNORA81	0	0	0	0	0	0
SNORA84	0	0	0	0	0	0
SNORA9	0	0	0	0	0	0
SNORD10	0	0	0	0	0	0
SNORD100	0	0	0	0	0	0
SNORD101	0	0	0	0	0	0
SNORD102	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0
SNORD103B	0	0	0	0	0	0
SNORD104	0	0	0	0	0	0
SNORD105	0	0	0	0	0	0
SNORD105B	0	0	0	0	0	0
SNORD107	0	0	0	0	0	0
SNORD108	0	0	0	0	0	0
SNORD109A	0	0	0	0	0	0
SNORD109B	0	0	0	0	0	0
SNORD11	0	0	0	0	0	0
SNORD110	0	0	0	0	0	0
SNORD111	0	0	0	0	0	0
SNORD111B	0	0	0	0	0	0
SNORD113-1	0	0	0	0	0	0
SNORD113-2	0	0	0	0	0	0
SNORD113-4	0	0	0	0	0	0
SNORD113-5	0	0	0	0	0	0
SNORD113-6	0	0	0	0	0	0
SNORD113-7	0	0	0	0	0	0
SNORD113-9	0	0	0	0	0	0
SNORD114-1	0	0	0	0	0	0
SNORD114-10	0	0	0	0	0	0
SNORD114-11	0	0	0	0	0	0
SNORD114-12	0	0	0	0	0	0
SNORD114-13	0	0	0	0	0	0
SNORD114-14	0	0	0	0	0	0
SNORD114-15	0	0	0	0	0	0
SNORD114-16	0	0	0	0	0	0
SNORD114-17	0	0	0	0	0	0
SNORD114-18	0	0	0	0	0	0
SNORD114-19	0	0	0	0	0	0
SNORD114-2	0	0	0	0	0	0
SNORD114-20	0	0	0	0	0	0
SNORD114-21	0	0	0	0	0	0
SNORD114-22	0	0	0	0	0	0
SNORD114-23	0	0	0	0	0	0
SNORD114-24	0	0	0	0	0	0
SNORD114-25	0	0	0	0	0	0
SNORD114-26	0	0	0	0	0	0
SNORD114-27	0	0	0	0	0	0
SNORD114-28	0	0	0	0	0	0
SNORD114-29	0	0	0	0	0	0
SNORD114-3	0	0	0	0	0	0
SNORD114-30	0	0	0	0	0	0
SNORD114-31	0	0	0	0	0	0
SNORD114-4	0	0	0	0	0	0
SNORD114-5	0	0	0	0	0	0
SNORD114-6	0	0	0	0	0	0
SNORD114-7	0	0	0	0	0	0
SNORD114-8	0	0	0	0	0	0
SNORD114-9	0	0	0	0	0	0
SNORD115-1	0	0	0	0	0	0
SNORD115-10	0	0	0	0	0	0
SNORD115-11	0	0	0	0	0	0
SNORD115-12	0	0	0	0	0	0
SNORD115-13	0	0	0	0	0	0
SNORD115-14	0	0	0	0	0	0
